"cluster.number","Lat","Long","MM","YY","UpAge","LoAge","Ex","Pf","PfPR2.10","Method","EVI","Temperature","Precipitation","Population","ITN","NTL","Urban.Rural","utm_x","utm_y"
59,-3.362844,37.334489,8,2015,4.17,0.75,6,0,0,"RDT",0.15,29.65,1121.09,20.15,35.66,16.66,"U",981.954975309778,9627.22949482437
60,-3.35645,37.352719,8,2015,4.92,0.5,10,0,0,"RDT",0.23,29.65,1398.05,103.96,35.66,11.79,"U",983.989042127738,9627.92924329465
61,-3.190633,37.11685,9,2015,4.25,0.67,11,0,0,"RDT",0.37,20.92,1574.68,4.65,43.55,0,"R",957.791240507736,9646.41893197504
62,-4.848005,38.481384,12,2015,4.5,0.5,11,0,0,"RDT",0.4,26.34,1486.24,2.46,52.23,0,"R",1108.69530169019,9461.67054569603
63,-4.60157,38.254845,12,2015,4.92,1.5,12,0,0,"RDT",0.33,22.6,883.44,1.72,50.51,0,"R",1083.67419294374,9489.22540144904
64,-4.724061,38.401635,12,2015,4.92,0.67,9,0,0,"RDT",0.33,23.68,1021.55,2.7,50.31,0,"R",1099.92162209355,9475.50321480139
65,-4.769309,38.553848,12,2015,4.67,0.5,20,0,0,"RDT",0.31,26.71,1117,1.1,52.06,0,"R",1116.83843206703,9470.34425178489
66,-5.253311,38.563169,12,2015,4.92,0.58,11,2,18.94,"RDT",0.4,25.42,1535.69,0.55,55.6,0,"R",1117.41954285399,9416.5839991546
68,-5.212218,38.772097,11,2015,4.58,0.5,13,0,0,"RDT",0.43,24.58,1783.7,1.6,57.61,0,"R",1140.72566938408,9420.93789947932
69,-5.123143,38.612201,11,2015,4.92,1.08,18,0,0,"RDT",0.47,21.27,1662.35,0.51,55.95,0,"R",1123.00696276298,9430.99237747288
70,-5.079542,39.097264,12,2015,4.75,0.75,12,0,0,"RDT",0.24,26.98,1586.84,90.22,42.99,36.83,"U",1177.09359657485,9435.34427701469
71,-5.085353,39.114041,12,2015,4.75,0.42,18,0,0,"RDT",0.33,26.98,1818.35,20.33,42.99,19.41,"U",1178.95755525017,9434.68058251958
72,-5.110384,39.108296,12,2015,4.58,0.75,13,0,0,"RDT",0.37,26.7,1857.58,21.01,42.99,10.51,"U",1178.29071258464,9431.90411077983
73,-5.39404,38.976689,11,2015,4.83,1.5,6,0,0,"RDT",0.41,25.49,1802.67,1.16,60.14,0,"R",1163.32109258176,9400.51765438085
74,-5.75617,38.271549,11,2015,4.5,0.5,13,1,8.03,"RDT",0.37,27.63,1164.88,1.17,56.66,0,"R",1084.46731321614,9361.04637996777
75,-5.307198,38.349598,12,2015,4.75,0.5,22,1,4.75,"RDT",0.34,25.58,992.54,0.46,55.17,0,"R",1093.59540377118,9410.80949553424
76,-5.968156,37.209431,11,2015,4.75,0.42,23,4,18.29,"RDT",0.28,27.22,978.61,1.29,50.47,0,"R",966.29566273608,9338.53210745124
77,-5.415753,37.564709,11,2015,4.17,0.67,11,1,9.52,"RDT",0.3,25.59,750.43,1.7,49.42,0,"R",1006.21527574578,9399.4724424406
78,-4.860078,39.091884,10,2015,4.83,0.58,15,0,0,"RDT",0.41,25.19,1444.15,1.97,57.2,0,"R",1176.71948859182,9459.74574739255
81,-5.437552,38.005727,11,2015,4.58,1.25,7,0,0,"RDT",0.31,26.64,905.49,8.07,53.25,3.89,"U",1055.22097972745,9396.66628814184
82,-6.196768,37.118191,12,2015,4.92,0.5,13,0,0,"RDT",0.27,27.39,777.03,0.99,50.91,0,"R",955.977982003236,9313.27302564253
83,-6.954994,37.068893,11,2015,4.92,0.5,16,4,26.11,"RDT",0.31,29.91,913.19,0.31,63.66,0,"R",949.825956530391,9229.28984697473
84,-7.316194,36.754157,12,2015,4.92,1.67,9,2,22.36,"RDT",0.38,24.65,1135.74,0.27,63.43,0,"U",914.654213365614,9189.56495201007
85,-6.940194,36.822107,11,2015,4.83,0.58,18,6,34.71,"RDT",0.41,24.91,1162.74,0.07,63.25,0,"R",922.515534680218,9231.15770228205
86,-7.24574,38.048318,12,2015,4,0.5,9,3,35.39,"RDT",0.33,31.18,841.53,0.05,62.19,0,"R",1057.99925723115,9195.97873942531
87,-7.101532,37.893291,12,2015,4.58,0.75,15,6,41.6,"RDT",0.32,29.77,1028.6,0.14,60.15,0,"R",1040.99355960478,9212.16585708676
88,-7.007108,37.785251,12,2015,4.25,0.92,10,6,61.72,"RDT",0.42,26.51,1152.19,2.89,58.31,0,"R",1029.12906234665,9222.76508593247
89,-7.923026,36.886219,11,2015,4.67,0.92,10,1,10.29,"RDT",0.35,28.57,1490.09,0.7,62.77,0,"R",928.656545713743,9122.20555279161
90,-8.153827,36.689657,11,2015,4.75,0.75,6,0,0,"RDT",0.34,29.15,1481.65,63.69,61.01,2.77,"U",906.715031433938,9096.83698300145
91,-8.262547,36.357891,11,2015,4.83,1.08,7,0,0,"RDT",0.32,27.86,1291.82,0.67,59.01,0,"R",870.000737914706,9085.117522009
92,-9.007751,35.695524,11,2015,4.83,0.92,10,4,41.14,"RDT",0.48,27.29,1350.99,0.15,54.74,0,"R",796.374166130012,9003.19876380847
93,-9.112936,36.710036,11,2015,4.92,1.33,17,12,71.46,"RDT",0.35,27.64,1207.66,0.14,53.78,0,"R",907.930257084201,8990.56793030474
94,-6.844814,37.672139,11,2015,4.83,1.5,7,0,0,"RDT",0.36,28.74,824.43,10.12,59.21,12.04,"U",1016.77163202714,9240.89102479797
95,-6.791463,37.676954,12,2015,3.92,0.42,14,0,0,"RDT",0.29,30.01,987.71,14.52,52.28,18.05,"U",1017.36283444248,9246.80282142405
96,-6.771863,37.741053,12,2015,4.58,0.58,7,0,0,"RDT",0.23,29.67,697.77,1.01,57.53,6.51,"U",1024.49049659583,9248.90756599787
97,-6.811839,37.687302,11,2015,4.5,0.92,10,1,10.29,"RDT",0.27,26.97,987.71,13.8,52.28,17.45,"R",1018.48808224268,9244.53183728235
