"cluster.number","Lat","Long","MM","YY","UpAge","LoAge","Ex","Pf","PfPR2.10","Method","EVI","Temperature","Precipitation","Population","ITN","NTL","Urban.Rural","utm_x","utm_y"
444,-4.237906,35.742628,10,2015,4.42,0.58,12,0,0,"RDT",0.27,19.99,739.57,4.71,50.11,2.03,"U",804.472756937165,9531.03666151807
445,-4.223267,35.756482,10,2015,3.75,0.58,9,0,0,"RDT",0.27,19.99,688.94,10.38,50.11,7.2,"U",806.017691813156,9532.65120316365
446,-9.370375,34.7949,9,2015,4.83,1.5,8,0,0,"RDT",0.27,18.96,1060.56,7.9,51.1,4.43,"U",697.110590146717,8963.69697279833
447,-9.59105,34.889192,9,2015,3.92,0.58,9,0,0,"RDT",0.41,18.95,1306.5,0.61,54.33,0,"R",707.336322241752,8939.23223541149
448,-9.489165,34.790623,9,2015,4.83,0.58,11,0,0,"RDT",0.37,17.94,1287.23,0.7,52.87,0,"U",696.573455769037,8950.55985040947
449,-8.716546,34.828461,10,2015,4.92,0.83,23,0,0,"RDT",0.26,24.12,729.49,0.29,51.3,0,"R",701.16023791535,9035.99891476595
450,-8.947707,34.629757,10,2015,4.92,0.5,9,0,0,"RDT",0.27,24.7,716.64,0.41,52.28,0,"R",679.181891217455,9010.53274555671
451,-9.080926,34.658622,9,2015,4.58,1.08,12,0,0,"RDT",0.27,23.02,859.09,0.48,51.08,0,"R",682.289416151217,8995.78433101236
453,-9.131887,34.518206,9,2015,4.58,0.75,8,0,0,"RDT",0.29,22.55,1004.56,0.66,51.4,0,"R",666.829859806145,8990.21585793109
454,-9.40945,34.232606,11,2015,4,0.67,7,0,0,"RDT",0.37,20.67,1283.82,0.34,52.39,0,"R",635.334807905817,8959.64163959735
455,-9.138061,34.002296,11,2015,4.92,0.58,11,0,0,"RDT",0.34,19.15,1492.18,0.12,51.16,0,"R",610.129631545535,8989.73113377225
456,-9.028843,34.011148,11,2015,3.75,1.83,5,0,0,"RDT",0.37,22.16,1283.8,0.22,51.15,0,"R",611.136012642161,9001.80511052259
457,-9.251258,34.886754,10,2015,4.58,1,9,0,0,"RDT",0.32,18.47,1084.05,0.36,51.84,0,"R",707.271342274433,8976.82045446098
458,-9.282202,35.299421,10,2015,4.92,0.75,14,0,0,"RDT",0.42,19.86,1498.26,0.21,53.24,0,"R",752.604331046141,8973.13020030065
459,-9.781039,34.515676,11,2015,4.08,1.17,14,0,0,"RDT",0.33,22.74,912.46,2.67,55.91,0,"U",666.239676472494,8918.42284325183
460,-9.8031,34.59013,11,2015,4.58,1.25,8,0,0,"RDT",0.34,20.63,966.17,0.43,56.97,0,"R",674.39623038944,8915.94522183077
461,-9.905375,35.102767,11,2015,4.92,0.58,16,0,0,"RDT",0.36,23.92,1102.92,1.02,58.39,0,"R",730.569208627882,8904.32149070877
462,-9.842774,34.386516,11,2015,4.92,0.5,12,1,8.7,"RDT",0.38,21.63,1143.59,0.59,57.83,0,"R",652.042472028211,8911.65636105913
463,-8.844554,34.815911,9,2015,4.5,0.83,7,0,0,"RDT",0.18,23.19,830.72,13.99,49.5,11.17,"U",699.710564950808,9021.84670735358
464,-8.852609,34.817221,9,2015,3.67,0.75,12,0,0,"RDT",0.19,22.21,830.72,20.08,49.5,11.17,"U",699.850334423466,9020.95504371027
465,-8.839894,34.949787,9,2015,4.58,0.5,12,0,0,"RDT",0.3,21.54,1056.79,0.57,49.69,0,"R",714.441965597745,9022.28773935606
466,-6.386577,30.986436,12,2015,4.58,0.5,22,1,4.75,"RDT",0.29,29.72,1263.24,1.74,56.64,0,"R",277.277011098286,9293.62659267305
467,-6.347639,31.071591,12,2015,4.92,0.67,14,0,0,"RDT",0.2,29.48,1191.05,101.73,55.92,9.01,"U",286.683608012018,9297.96940913292
468,-6.338598,31.067646,12,2015,4.92,0.42,13,1,8.09,"RDT",0.19,28.54,1191.05,99.7,55.92,10.74,"U",286.243330839141,9298.9677655308
469,-6.353393,31.051981,12,2015,4.83,1.92,9,0,0,"RDT",0.3,29.48,1191.05,4.19,55.92,9.26,"U",284.51596992316,9297.32486064616
470,-6.324554,31.094139,12,2015,4.17,0.5,11,0,0,"RDT",0.26,28.62,1185.69,8.49,56.77,7.26,"U",289.169351082149,9300.53192859667
471,-6.347238,31.089951,12,2015,4.92,0.92,17,1,6.01,"RDT",0.27,28.83,1191.05,11.17,56.46,3.33,"U",288.715130309045,9298.02128841638
487,-2.629216,34.196927,12,2015,4.92,0.67,39,9,23.88,"RDT",0.28,28.75,1014.14,1.3,55.55,0,"R",633.058441367145,9709.32682558373
488,-2.75414,34.008881,12,2015,4.92,0.5,49,2,4.26,"RDT",0.28,29.32,1084.56,2.36,59,0,"R",612.140196388523,9695.53498176318
489,-2.631985,33.739559,12,2015,4.75,0.5,27,11,42.55,"RDT",0.26,30.18,1118.8,0.82,64.41,0,"R",582.210456033039,9709.06015724466
490,-2.50123,33.968256,12,2015,4.92,0.5,29,7,25.21,"RDT",0.29,29.02,1141.51,2.98,62.27,0,"R",607.645827392619,9723.49747277184
491,-2.840584,33.986132,12,2015,4.83,0.58,15,0,0,"RDT",0.27,29.7,986.2,2.12,59.48,0,"R",609.603294767729,9685.98079151459
494,-2.911457,33.946808,12,2015,4.67,0.67,12,1,8.62,"RDT",0.29,29.81,962.39,4.58,60.54,0,"U",605.225738957104,9678.14958028039
507,-2.611232,31.96712,12,2015,4.75,0.58,16,11,71.6,"RDT",0.34,24.82,1437.93,3.66,71.13,0,"R",385.178623862937,9711.3312458318
508,-2.518685,32.005731,12,2015,4.67,0.75,26,14,56,"RDT",0.26,24.7,1458.48,4.54,71.91,0,"U",389.463357448546,9721.56568037264
509,-2.515115,32.021673,12,2015,4.75,0.67,18,6,34.49,"RDT",0.32,24.7,1396.87,4.75,71.91,0,"R",391.23556804475,9721.96167897307
510,-2.707106,32.390811,12,2015,4.92,0.67,35,22,65.04,"RDT",0.31,25.41,1331.69,0.87,69.99,0,"R",432.286381438728,9700.76421182462
511,-3.214846,32.386986,12,2015,4.92,0.75,32,18,57.91,"RDT",0.28,28.7,962.29,1.98,67.11,0,"R",431.892222190302,9644.63874794367
513,-2.967893,31.942312,12,2015,4.75,0.5,18,0,0,"RDT",0.33,24.92,1234.75,2.15,65.87,0,"R",382.455929622376,9671.89952613902
514,-3.006025,31.923091,12,2015,4.25,0.5,13,1,8.17,"RDT",0.24,25.72,1204.79,59.95,65.86,4.88,"U",380.323721331142,9667.68187323599
516,-2.873983,32.231216,12,2015,4.92,1.17,16,0,0,"RDT",0.18,26.36,1094.04,77.07,64.86,13.79,"U",414.557899672302,9682.30711013686
